,excerpt_and_book
"2 All Stars About the story Oe Life is tricky for Tom Thumb. He's too small to play football with the other children and he can't even get himself out of a sticky pudding bowl. What could a boy like this possibly have in common with a king? And how will he ever get the game of football he longs for? Football in Britain is the same game as soccer in other, parts of the world. Cover clues * Look at the front cover. Have you heard of ‘Tom Thumb before? ‘* What do you think the story will be about based on the cover picture and title? + Read the back cover blurb. Why might Tom Thumb’s mother want him to stay at home? ‘* Where do you think the special football match will be played? Tricky words °C + hankie - short version of the word ‘handkerchief a square of cloth that is used as a tissue * spicy — having the taste or flavour of spices + precious — of great value and much loved * dignity - having pride in yourself and acting in a way that makes others respect you + glistening - shining or sparkling in lightTom thumb and the football team pg48/2278_left.png",2
"‘What!’ called Harry. ‘Now what are you on about?” He started to bundle Raf into the hole. It wasn't easy. Raf seemed to have so many legs, and Harry had never seen anything flop about so much. Every now and then Raf snorted loudly, blowing dust into Harry’s face. All the time, he could hear Jack muttering from the other side. ‘Shut up, Jack! Grab hold of his collar and pull.’ Raf suddenly disappeared through the opening, and Harry followed just in time. As he scrambled through, an avalanche of bricks slithered down behind him. There was no going back, Harry choked and rubbed his eyes clear of dust. What he saw made his stomach lurch with terror. 44Air raid/25_left.png",2
Dragon Tales Andy Blackford Ulastrated by Nick Schon Chiara Pasqualoteo ‘Andy Elkerton CONTENTS George d the Dragon 3 “Tehangand che Pearl Dragon 25 ‘The Bamburgh Dragon a7 Dragon Tales,2
He and the captain lowered it into the loose earth next to the boys.Air raid/30_right.png,2
"52 The Queen looked at Hades, but Hades shook his head. ‘All the gold in the earth, all the silver held tight in stone ~ it belongs to me’ he said. ‘All the iron, all the copper ~ it belongs to me. Every diamond, ruby, emerald, sapphire ~ I grasp them hard. Ifyou would have them, then you must sweat for them. All the dead too, are mine. I hold hard to what I have. I give nothing away. Eurydice is mine? “You want me to work for her?” Orpheus said. ‘You want me to pay? I can pay with music. T'll play for you’ Tales of the Underworld",2
"His height you deduced from the length of his stride and his boots. But what about his lameness?” “The mark of his right foot was always less clear than his left. He put less weight on it, Why? Because he limped.’ “But his left-handedness?” “You noticed the injury as reported at the inquest. A blow struck from behind yet from the left side. Surely a left-handed m argument between James and his father. He even smoked n? He stood behind the tree during the there ~T found the ash of a cigar. As you know, Iam an expert on tobacco ash. I then discovered the cigar stump in the moss where he had thrown it’ “And the cigar holder?"" ‘The cigar had not been in his mouth, therefore he had used a holder. The tip had been cut off, not bitten, It was not a clean cut ~ so I deduced a blunt penknife, “see where this all points. The murderer must be “Mr John Turner!” cried a voice. It was the hotel waiter, opening the door. He showed a visitor into the room. ‘The man who entered was a strange and impressive figure. He had a slow limping step but his craggy face and huge arms and legs gave an impression of strength of body and character. His face was white and his lips tinged with blue, As a doctor I could see that he was a very ill, man 18 Stories of Sherlock Holmes",2
"‘That night the children were tired but they couldn’t sleep. Chip kept telling jokes and making silly noises. In the end, Mr Johnson came in. He was cross with Chip. “Tl send you to bed at six o'clock tomorrow, if [hear any more noise.”green island pg32/395_right.png",2
"“Come on, missy, you can do it!’ T whispered, willing her to escape the sharks. And she did. She just made land as a shark's jaws snapped shut on her I watched her caw! up the sand and sit there, gazing after our ship as we sailed over the horizon. Her shouts ‘came to us on the wind. ‘I'll show you! You'll live to remember Grace Barry!’Grace the Pirate/12_right.png",2
"Trudy stood very, very still. She was afraid to move in case she knocked something over. Stiff as a statue, she kept her elbows pressed to her sides. Mrs Willow came back into the ‘Ah, I see you're looking at my Chinese vase,’ she said. ‘It’s very, very old. Do you like it?” ‘Trudy nodded. room. 24 Here Comes Trouble",2
"Once again the spaceship shook and juddered as they dodged meteoroids. “Hold on tightly!” said Max. Soon the blue and green land of Earth came into view “I don’t want to worry anyone,” said Cat. “But aren't wwe moving too fast?” “Gr... yes, we are!” said Tiger. “At this speed we'll crash!’ “And that will ruin everything!” said Ant, “We have to slow down.” “['Il take control!” said Max. Journey to Mars",2
"“Tehang thought his legs would fold underneath him. What could he do? There was his poor mother’s question, then the old woman's question, then the old man’s question, and then the Pearl Dragon's question. For his own sake, as well as his mother’s, he desperately wanted to know the answer to the first question - but he also knew he couldn'e let his Phen L friends down. So he answered sadly, will only ask you three? ‘When Tehang had asked his questions a thunderstorm began to rage high up in the hall. The Wizard hurled three scrolls down to Tehang, ‘Here are your answers, boy. Now go hom: 38 Dragon Tales",2
"It's only courtship Before animals mate they need to check to see if their partner is strong and healthy, so that their offgpring will also be fit and strong. This process of getting to know their partner is called courtship. Sometimes courtship can look like a conflict as many animals test each other by pushing, scratching and biting. But no harm is done.Animal Conflicts pg32/13_left.png",2
"Food fight! All creatures need to cat, so sometimes they fight over food, Before starting a food fight each animal must decide if it can get another meal more easly. Is the food worth fighting for? Can it scare the other animal away or will it have to ‘overpower the rival? angry vltores jot for Position around «carcassAnimal Conflicts pg32/11_left.png",2
"‘Once back on deck, the sailor grabbed the wheel which was swinging this way and that in the heavy seas, And he steered the ship safely through the waves. Whoever he was, he was a born sailor. It was a calm, grey morning when we finally staggered on deck, Quite a few of us were sick and holding our aching heads. “Where's the bold sailor who saved us?’ I called. He was nowhere to be seen. “What a rum do!’ cried the bosun, “Perhaps it was a ghost...’ “More likely one of the new hands,’ I replied, Yet no one came forward Just then a shout came from the lookout up in the crow’s nest: ‘Land ahoy! Land ahoy!” asGrace the Pirate/10_right.png",2
"MAL Please, Will. William stomps over to the goal. WILLIAM (to camera) I bet Dixie Dean never had to suffer the humiliation of being picked last. Mr Crosby blows a whistle and the game starts. William is in goal. We see him miss several shots as he dives out of the way. He keeps slipping over in the mud in his trainers. He quickly gets covered in dirt. Finally, Kevin takes a shot. William closes his eyes at the last minute and Kevin kicks the ball hard at William. It hits William square in the chest and he falls backwards in the mud with a groan. He doesn’t get up. Mai and his team run over, looking worried. Ultimate Takeover",2
"“Not much to see, anyway.” Cat rotated the camera ninety degrees. “Just heavy snowfall. But the Driller is also recording temperature change, atmospheric pressure and wind speed. Maybe Dani can learn something from that.” “Wait!” Ant put a hand on her shoulder. “Turn the camera back a bit.” “You spot something?” “Don't tell me.” Tiger sniggered. “It's a guy ina red suit driving a sleigh.” “No, look!” Ant pointed. “Off in the distance.” The children could just make out a hazy shape on the screen. The snow was too thick to identify it, but the object was moving slowly away from the camera. “What is that?” “No way to tell. It could be a vehicle or even a person.” Cat studied the instruments. “It’s heading north, right on the edge of the storm.” “How fast is the blizzard travelling?” Max asked. “Only a few kilometres an houi “Then get some blankets and put something warm on.” Max grabbed his jacket from the back of a chair. “And activate the X-gate again. We're going in.” “Dani told us we were not to go into another storm,” Ant cautioned, Storm Chasers",2
"So Tom stood at the window. The children outside were playing football. ""Can't I go out and play with them, Ma?"" asked Tom. ""Oo, no it wouldn't be safe,"" said his mother. Tom scowled and kicked the window, boom, boom, on the glass to make his mother as cross as he was. 22Tom thumb and the football team pg48/2289_left.png",2
"The falcon’s nest Vm still hoping Goldie might come back. But it’s the day after the race and there’s no sign of her. I'm sitting outside Grandad’s pigeon loft staring into the sky. I daren’t even blink in case I miss her. ‘Come on, Goldie, come on, Goldie, come on, Goldie” 2 Waiting for Goldie",2
"Interview with Aaron Foth Hardcore sitter Did you come up with the name ‘Hardcore sitting’? Yes Hardcore siting (HS) i aterm tat thought for extreme wheelharing in skateparks How and when did you start Hardcore sitting? ‘My older brother, Brion, used to BMAX ond 40 he inspired me to store rd in skatepark Thar was back in 2000, How does it make you feel? fe emakes me fel ie ave and not js plying video games. ‘What do you find hardest? Coming up with new wicks s the hardest thing Fv found An en after you come up wth the rick then yu actualy hove to and it rraseamuch time do you spend practising during each session? Ie depends onthe weather, but it con range from 28 hones ‘What is your favourite trick? ZR Hondplane This where you go up the qurte ibe fa curved, sloped amp] ard stl alance] on one hand (ee picture oboe) How did you fee! when you did your first. record-breaking back fip? {Wes seecles! kas omazing Afr al my hod wer Igor ne erasers any tricks that you haven't Been abe to do yet? I pot tha nto, js tea fide ig eneagh ‘amp t0 be oble 20 do them on! [Where would you like to see Hardcore siting go in the future? Ungaro Se as a category in X Games [X Games cn otros ‘Or competion thats held every year in summer ad wer Adrenaline Rush",2
"They came to a new room. A nasty-looking robot began to come towards them. “Help,” called Kipper. “It’s going to get us.” The robot came closer. “That's funny,” said Chip. “It’s just like one of Nadim’s toys.”Storm castle pg32/376_right.png",2
"“T wonder where the bean rootis going?” e thought Jess. “I'd better go down itond see.” ? ‘ OTN Jess jumped onto the bean root and slid down, down, down, going faster and faster. Down, down she slid until she landed, bump, on the ground. The bean root didn’t stop there, it had thumped its way through the ground, too. Jess looked at the huge hole. “Where's it going now?” Jess wondered. “Td better go down itand see.” Jess and the bean stalk",2
"Yer it did not make her happy. She was sad and lonely and thae’s why she had kepe the fish at the bottom of the sea with her. Sedna’s father listened to his daughter. He soothed her sadness by combing her long hair, as he used to do, He told her that people were starving and. begged her to let all the fish and creatures of the sea swim freely again, Aclast Sedna agreed, but only ifher father made a promise. He had to promise that whenever she was lonely, a man would come down to her kingdom to keep her company and comb out her hair. ‘When Sedna’s father woke he knew it had not been an ordinary dream. He took out his kayak and found the seas once more filled with fish, and those strange new creatures, the seals and walruses. Why the sea is Slaty",2
"he rolled the papers into a ball and threw them onto the luggage rack. ‘Have you heard anything of the case?"" he asked. ‘Not a word. I've not seen a paper for days.’ ‘Hmm,’ said Hol which are so extremely difficult x. I's one of those simple cases “What do you mean?” The more ordinary a crime seems to be, the more difficult itis to see the solution. It is the unusual which, makes things easy!"" “What kind of crime are we dealing with?” ‘Murder, Watson. A serious case has already been made against the so of the murdered man. It happened in Boscombe Valley, near Hereford. The owner of much land in that area is a Mr John Tamer. He came back from, Australia a few years ago and settled he ‘Made his fortune, did he?” “Enough to buy several farms. One he let out to another Australian, Mr Charles McCarthy. McCarthy has a son of cighteen, called James.” ‘Are there no wives?” L asked, ‘Neither of the wives is still living, but Turner has one daughter of similar age to James.” ‘And the murder?” ‘I seems that last Monday, McCarthy left his house at Hatherley at about three in the afternoon, He walked down to Boscombe Pool, a small lake at the end of Stories of Sherlock Holmes",2
"A life of their own ‘Your trainers are alive,’ I tell him. ‘They go out at night on their own, without you. You know those little metal holes where you put your laces? Well, they aren’t lace holes. They're eyes. Your trainers have got lots of eyes, like spiders. Did you know that? And they've got big slurpy purple tongues.’Dangerous Trainers, pg32/8_left.png",2
"She gave the children lists of jobs “Begin with the cleaning,” she said. “It has to be done before breakfast. Ah! I see you have brought a dog. Good.”The big Breakfast pg32/218_right.png",2
"Shelly began to scratch at the café roof. “She's trying to dig a hole!” gasped Cat. “No, she’s not,” said Ant, as Shelly sat down, “She's laying an egg!”Escape of the giant chicken pg32/9_left.png",2
"“Astrid!” the Prince exclaimed. “Have you come to save me?” “If I can,” Astrid said. “But how do we get rid of Long Nose?” “With a test of true love,” said the Prince. “The winner will be the one who can clean the magic wax from my shirt. That's the person T’'ll marry!” 6East of the sun west of the moon pg32/615_left.png",2
"But, next morning, when I went round to the pigeon loft, she looked much better! She had a drink; she ate some com. She even went ‘Coo-coo’ tome. And in the weeks after that she grew stronger and stronger. Her golden eyes grew bright again. Then, last night, Mum said to me, ‘Grandad’s coming home tomorrow.’ Waiting for Goldie",2
"f ) Astrid was standing by the : biggest and gloomiest castle she'd ever seen. Long Nose was looking down from a high window. “Hello, Astrid,” she cackled. “Are you looking for the Prince? Give me that golden apple and I'll let you see him.” “Take it,” said Astrid, quickly.East of the sun west of the moon pg32/612_right.png",2
"Riding styles Freestyle Kitesurfers show off their skills. They use the board and the kite to gain height and do big jumps, rotations and tricks. ‘Speed Kitesurfers use strong winds to go as fast as possible. Boardereross Kitesurfers have to get round a course, marked out by buoys, and perform tricks. The winner is the pilot who crosses the finist line first. This is one of the most dangerous disciplines. It combines freestyle and speed, wave riding Kitesurfers ride waves like a surfboarder. Hangtime Kitesurfers do huge jumps and stay in the air for as long as possible. Kickers and sliders Kitesurfers perform tricks Using ramps and rails, that are placed in the water. Freeride Anything goes! Freeride is all about having fun! eee } Adrenaline Rush",2
"“It's recycling,” said Ant. “They turn the food into compost.” “My grandad puts compost on his garden,” Tiger told him. “He says it helps the plants grow.” Attack of the centepede",2
"Tiger picked up an apple stalk. He held it in front of him. The hungry centipede snapped it in two, Tiger backed into the corner. Attack of the centepede",2
"The time Leonardo lived in was known as the Renaissance (say ru-nai-sons) ~ an exciting time of new ideas in the arts cand sciences across Europe. Important Renaissance people Included: + the artist Michelangelo, who painted the ceiling of the Sistine Chapel in Rome + the English author William Shakespeare, who wrote plays including Macbeth and Romeo and Juliet.the life of leonardo pg24/212_right.png",2
"Ari usually goes to circus school two nights a week and on Saturday mornings, too. It’s a big commitment! Ari, what are your favourite circus events? ""There are so many! But this year I've been working really hard on the trapeze, the straps, the unicycle and the mini-trampoline! the strapsSkill and thrills pg24/283_right.png",2
"“Grab on!” said Max, bending down and holding out his hand. Although Trikob couldn’t understand him, he knew what Max meant. He slapped a wet, rubbery hand into Max’s. Max pulled Trikob up on to his holo-board behind him. The board sank under the weight of them both, but Max managed to keep them steady. Close book 9The contest pg32/548_right.png",2
"About the author ‘The idea for this book came to me while I was typing another story. I was supposed to type ‘mow the lawn and hoover the carpet’, but I got it mixed up and typed ~ ‘mow the carpet’ by mistake. I thought how funny it would be if other jobs got mixed up and how that might happen. My favourite character is Newton. He is quite happy to let other people think he is cleverer than he really is. Doohickey and the Robot",2
"Old Tin Hat trod his way gently across the bomb site, followed by the captain, who was carrying Raf. When they reached the barrier, Harry's mum threw a blanket round his shoulders and gave him a big kiss. “Mum! Am I glad to see you!"" laughed Harry. “Warden, you're a hero!” said someone. ‘No, there goes the hero,’ said Old Tin Hat, pointing to the captain, who was making his way back to defuse the bomb, Old Tin Hat pushed his hat back to wipe his forehead. ‘We always thought your hair was grey!” cried Jack. “Much more of you and it will be!’ joked Old Tin Hat. Raf jumped up at Harry’s mum, “Good boy, Raf,’ she said. ‘You can be our dog now.""Air raid/33_right.png",2
"‘Calm down, son,’ I tell myself. But where is she? She’s never been this late before, What am I going to tell Grandad? Grandad says you can tell a lot by looking in a pigeon’s eyes. You can tell if they're going to be a good racer. Goldie has got golden eyes. That's very rare. Grandad says he’s never had a pigeon like her. She’s one in a million, he says. Waiting for Goldie",2
"SELECT MISSION Mark and Liam have three mi carry aut. Select the first mis: would like to goon with them. SELECT —™“ MISSION: SOUTH NV) AMERICA, ‘A-boa constrictor has been fnatched fom the rainforest n South America. Your mission isto rescue the bos and return tt the rainforest before tis illegally sold asa pet Look atthe Essential Eauipment Liston page 6. Then read the Fact File on bea constr tors on page 8. Big Game Adventure",2
"We went inside. Mr and Mrs Otterbank were two big lumps in a bed. Some clothes were on a chair, and we grabbed them, “There must be more somewhere,” said Dad. “Look in those drawers. They pull out, so be careful.” Soon we had a big pile of clothes which we took out into the hallway. Then Dad went to search in the children’s room, I opened a window and threw out everything we had into the garden. 22Clever monkey pg64/1869_left.png",2
‘Ughhhl’ shivered Doohickey. He stepped backwards straight into the floating sand-castle. Doohickey and the Robot,2
"That evening, Jack, Stacy and their dad sat round the kitchen table in semi-darkness. All the lights had blown. It was too dark to fiddle around with the fuse box, so they ate their chip supper by torchlight. Behind them, the boiler thumped like a metallic heartbeat. The pipes grumbled and gurgled in the background but the radiators had not come on. “It's cold,” moaned Stacy. “Sorry, love,” said their dad. “I'll try and bleed the radiators tomorrow.” At the mention of bleeding, Jack unconsciously touched the point on his hand where the splinter had gone in. When they had finished eating, they had a quick game of cards. But with his belly full, Jack began to feel his eyelids grow heavy. “I think we should all get an early night don't you?"" said his dad. He handed them each a torch and Jack made his way up the creaking stairs. He was so tired, that he hardly noticed the shadows stretching towards him. Ultimate Takeover",2
"“Te was the dog who found you,” Tariq told him. “Ie saved your life.” Omar could make no sense of it. He. felt tired and confused. “Your mother will be worried...” “Pll let her know we're okay. I'll send a message by radio,” Tariq promised “Good boy.” Omar gripped his son’s hand. Kelly the rescue dog",2
A female lays between 20 and 30 eggs in her roomy nest. Maiasaura nest together so they can look out for predators and protect their young from harm. What docs the name Mast means geod mates Wizard’ The femal . Dinosoar safari,2
"took a kettle lange and new: Fic for the deed I had to do. My heart went hop, my heart went thump: | filled the kettle at che pump. Then some one came to me and said “The ieee fishes are in bed.” I said to him, I sid ic plain, “Then you muse wake them up aj said ic loud and very clears I went and shouted in his ear Buc he was very stifP'and proud; He said “You needa shout so loud!” And he was very proud and stiff; He said “'l go and wake them, if 1 cook a corkscrew from the shelf: Tent to wake them up myself ‘And when I found the door was locked, I pulled and pushed and kicked and knocked, ‘And when T found the door was shut, I cried eo turn the handle, bur— 34 Jabberwock",2
"Another boy, RICK, steps forward. Slowly, the people disappear around William. Finally there are two people left. William, who is looking hurt and cross, and ANOTHER BOY who is completely uninterested in what is going on and reading a magazine. Finally Mai picks William. The teams separate and put on the different coloured bibs that Mr Crosby is handing out. They walk out on to the pitch. Mai is next to William. WILLIAM Thanks for picking me last! I thought we were friends? MAI It has nothing to do with friendship, Will. This has to do with winning. I had to choose the best people if we are going to beat Kevin's side. WILLIAM I still can’t believe you left me until last. You even picked Ajay over me. And he has asthma! MAT He still scored more goals than you in the last match we played. Will you go in goal? WILLIAM Oh great! Do I have to? Ultimate Takeover",2
"Mr Bragg wasn’t interested in Franklin. He glared at Franklin and trod on his toes, without saying sorry. Franklin’s heart sank when Mr Bragg said he wanted to come back for a second visit. ‘Saturday morning, ten o'clock sharp,’ he said. uStinky street pg32/111_right.png",2
"“Will you promise to come back?” said the bear. “And will you promise not to share any secrets with your mother?” “I promise, Bear.” So the bear took Astrid homeEast of the sun west of the moon pg32/606_left.png",2
"Brer Fox ran yelping down the path towards the pond. When he got to the water, he splashed in head first. That made Brer Rabbit shake with laughter so much that Brer Terrapin couldn't help joining in. “Don't, Brer Rabbit! Don't!"" squeaked Brer Terrapin, clutching his stomach. Brer Rabbit tried to control himself. 20Brer rabbits trickbag pg64/2138_left.png",2
"Ivy as well,’ said the old man. ‘I doubt I shall live until the trial, But 1 would still like to spare Alice the shock. I will tell you all. 1t will not take long,’ CHAPTER a A Riddle Answered “This man McCarthy was a devil. His grip has been upon. me these twenty years. He has blasted my life. Tt began in the sixties at the gold diggings. I was, young and hot-blooded but I had no luck with search for gold. 1 took to drink and made bad friends. 1 became a highway robber. There were six of us and we had a wild free life. Black Jack of Ballarat was the name 100k. ‘Onedayagoldconvoycame from Ballaratto Melbourne, We attacked it and in the fight three of our boys were killed before we got the swag. I put my pistol to the head of the driver ~ it was this man McCarthy. I wish to the Lord I had shot him then. “We got away with the gold and became wealthy men. Later, I made my way to England. I wanted to settle down, and do some good with my money, to make up for the way I had earned it. | married and, though my wife died young, she left me my darling danghter Alice. 20 Stories of Sherlock Holmes",2
"He swooped down, grabbing for Sedna with his beak. Sedna’s father struck him with his oat. ‘The raven shricked and flew up again. Then he swooped down over the sea, beating at the ‘waves with his wings, whipping them into a terrible storm, The kayak rolled from side to side, pounded by the heaving ocean, Suddenly a mighty wave crashed over the kayak. Sedna was flung into the icy sea, Why the sea is Slaty",2
"At first, they pretended to be men; yet once they had won respect for being as tough and fearless as any man, they went about openly as women. The two women sailed as pirates for four years before being caught - while Mary died in prison, Anne was set free, married and never returned to sea again.Grace the Pirate/34_right.png",2
‘The professor scribbled some words on to a scrap of paper. He fed the paper through the slot in the robot's chest. Then he pressed a big button and stepped back. The robot hummed and whirred for a bit. Then it climbed slowly to its feet It was enormous. Its head almost scraped the attic ceiling. 20 Doohickey and the Robot,2
